Rank,Title,Distributor,Year,Domestic gross
1,Love Story,Paramount,1970,"$106,397,186"
2,Airport,Universal,1970,"$100,489,150"
3,M*A*S*H,20th Century Fox,1970,"$81,600,000"
4,Patton,20th Century Fox,1970,"$62,500,000"
5,The Aristocats,Walt Disney,1970,"$41,162,795"
6,Woodstock,Warner Bros.,1970,"$34,505,110"
7,Little Big Man,National General Pictures,1970,"$31,559,552"
8,Ryan's Daughter,MGM,1970,"$30,846,306"
9,Tora! Tora! Tora!,20th Century Fox,1970,"$29,548,291"
10,Catch-22,Paramount,1970,"$24,911,670"
1,Billy Jack,Warner Bros.,1971,"$98,000,000"
2,Fiddler on the Roof,United Artists,1971,"$78,722,370"
3,Diamonds Are Forever,United Artists,1971,"$43,800,000"
4,The French Connection,20th Century Fox,1971,"$41,158,757"
5,Summer of '42,Warner Bros.,1971,"$32,063,634"
6,Dirty Harry,Warner Bros.,1971,"$28,153,434"
7,A Clockwork Orange,Warner Bros.,1971,"$26,589,355"
8,The Last Picture Show,Columbia,1971,"$20,505,085"
9,Bedknobs and Broomsticks,Walt Disney,1971,"$17,871,174"
10,Sweet Sweetback's Baadasssss Song,Cinemation Industries,1971,"$15,200,000"
1,The Godfather,Paramount,1972,"$133,698,921"
2,The Poseidon Adventure,20th Century Fox,1972,"$93,300,000"
3,"What's Up, Doc?",Warner Bros.,1972,"$57,142,740"
4,Deliverance,Warner Bros.,1972,"$46,122,355"
5,Deep Throat,Warner Bros.,1972,"$45,000,000"
6,Jeremiah Johnson,Warner Bros.,1972,"$44,693,786"
7,Cabaret,Allied Artists,1972,"$41,326,446"
8,The Getaway,National General,1972,"$36,734,619"
9,Last Tango in Paris,Metro-Goldwyn-Mayer,1972,"$36,144,824"
10,Lady Sings the Blues,Paramount,1972,"$19,726,490"
1,The Exorcist,Warner Bros.,1973,"$193,000,000"
2,The Sting,Universal,1973,"$159,616,327"
3,American Graffiti,Universal,1973,"$115,291,850"
4,Papillon,Allied Artists,1973,"$53,267,000"
5,The Way We Were,Columbia,1973,"$49,919,870"
6,Magnum Force,Warner Bros.,1973,"$44,680,473"
7,Live and Let Die,United Artists,1973,"$35,400,000"
8,Robin Hood,Walt Disney,1973,"$32,056,467"
9,Paper Moon,Paramount,1973,"$30,933,743"
10,Serpico,Paramount Pictures,1973,"$27,274,150"
1,Blazing Saddles,Warner Bros.,1974,"$119,500,000"
2,The Towering Inferno,20th Century Fox / Warner Bros.,1974,"$116,000,000"
3,The Trial of Billy Jack,Warner Bros.,1974,"$89,000,000"
4,Young Frankenstein,20th Century Fox,1974,"$86,300,000"
5,Earthquake,Universal,1974,"$79,700,000"
6,The Godfather Part II,Paramount,1974,"$57,300,000"
7,Airport 1975,Universal Pictures,1974,"$47,285,152"
8,The Life and Times of Grizzly Adams,Sunn Classic,1974,"$45,411,063"
9,The Longest Yard,Paramount,1974,"$43,008,075"
10,Murder on the Orient Express,Anglo-EMI Film Distributors,1974,"$35,733,867"
1,Jaws,Universal,1975,"$272,965,550"
2,One Flew Over the Cuckoo's Nest,United Artists,1975,"$108,981,275"
3,Shampoo,Columbia,1975,"$49,407,734"
4,Dog Day Afternoon,Warner Bros.,1975,"$46,665,856"
5,The Return of the Pink Panther,United Artists,1975,"$41,833,347"
6,Three Days of the Condor,Paramount,1975,"$41,509,797"
7,The Rocky Horror Picture Show,20th Century Fox,1975,"$40,420,000"
8,Funny Lady,Columbia,1975,"$40,055,897"
9,The Other Side of the Mountain,Universal,1975,"$34,673,100"
10,Tommy,Columbia,1975,"$34,251,525"
1,Rocky,United Artists,1976,"$117,235,147"
2,To Fly!,IMAX Films,1976,"$86,600,000"
3,A Star Is Born,Warner Bros.,1976,"$63,129,898"
4,King Kong,Paramount,1976,"$52,614,445"
5,Silver Streak,20th Century Fox,1976,"$51,079,064"
6,All the President's Men,Warner Bros.,1976,"$51,048,435"
7,The Omen,20th Century Fox,1976,"$48,570,885"
8,The Enforcer,Warner Bros.,1976,"$46,200,000"
9,Midway,Universal,1976,"$43,220,000"
10,The Bad News Bears,Paramount,1976,"$42,349,782"
1,Star Wars,20th Century Fox,1977,"$221,280,994"
2,Smokey and the Bandit,Universal,1977,"$126,737,428"
3,Close Encounters of the Third Kind,Columbia,1977,"$116,395,460"
4,Saturday Night Fever,Paramount,1977,"$94,213,184"
5,The Goodbye Girl,MGM / Warner Bros.,1977,"$83,700,000"
6,A Bridge Too Far,United Artists,1977,"$50,750,000"
7,The Deep,Columbia,1977,"$47,346,365"
8,The Spy Who Loved Me,United Artists,1977,"$46,838,673"
9,"Oh, God!",Warner Bros.,1977,"$41,687,243"
10,Annie Hall,United Artists,1977,"$38,251,425"
1,Grease,Paramount,1978,"$159,978,870"
2,Superman,Warner Bros.,1978,"$134,218,018"
3,National Lampoon’s Animal House,Universal,1978,"$120,091,123"
4,Every Which Way but Loose,Warner Bros.,1978,"$85,196,485"
5,Heaven Can Wait,Paramount,1978,"$81,640,278"
6,Hooper,Warner Bros.,1978,"$78,000,000"
7,Jaws 2,Universal,1978,"$77,737,272"
8,Revenge of the Pink Panther,United Artists,1978,"$49,579,269"
9,The Deer Hunter,Universal,1978,"$48,979,328"
10,Halloween,Compass International,1978,"$47,000,000"
1,Kramer vs. Kramer,Columbia,1979,"$106,260,000"
2,The Amityville Horror,American International,1979,"$86,432,520"
3,Rocky II,United Artists,1979,"$85,182,160<"
4,Star Trek: The Motion Picture,Paramount,1979,"$82,258,456"
5,Alien,20th Century Fox,1979,"$78,944,891"
6,Apocalypse Now,United Artists,1979,"$78,784,010"
7,10,Warner Bros.,1979,"$74,865,517"
8,The Jerk,Universal,1979,"$73,691,419"
9,Moonraker,United Artists,1979,"$70,308,099"
10,The Muppet Movie,Associated Film,1979,"$65,200,000"
1,The Empire Strikes Back,20th Century Fox,1980,"$209,398,025"
2,9 to 5,20th Century Fox,1980,"$103,290,500"
3,Stir Crazy,Columbia,1980,"$101,300,000"
4,Airplane!,Paramount,1980,"$83,453,539"
5,Any Which Way You Can,Warner Bros.,1980,"$70,687,344"
6,Private Benjamin,Warner Bros.,1980,"$69,847,348"
7,Coal Miner's Daughter,Universal,1980,"$67,182,787"
8,Smokey and the Bandit II,Universal,1980,"$66,132,626"
9,The Blue Lagoon,Columbia,1980,"$58,853,106"
10,The Blues Brothers,Universal,1980,"$57,229,890"
1,Raiders of the Lost Ark,Paramount,1981,"$212,222,025"
2,On Golden Pond,Universal,1981,"$119,285,432"
3,Superman II,Warner Bros.,1981,"$108,185,706"
4,Arthur,Warner Bros.,1981,"$95,461,682"
5,Stripes,Columbia,1981,"$85,297,000"
6,The Cannonball Run,20th Century Fox,1981,"$72,179,579"
7,Chariots of Fire,Warner Bros.,1981,"$58,972,904"
8,For Your Eyes Only,United Artists,1981,"$54,812,802"
9,The Four Seasons,Universal,1981,"$50,427,646"
10,Time Bandits,Embassy,1981,"$42,365,581"
1,E.T. the Extra-Terrestrial,Universal,1982,"$359,197,037"
2,Tootsie,Columbia,1982,"$177,200,000"
3,An Officer and a Gentleman,Paramount,1982,"$129,795,554"
4,Rocky III,United Artists,1982,"$124,146,897"
5,Porky's,20th Century Fox,1982,"$105,492,483"
6,Star Trek II: The Wrath of Khan,Paramount,1982,"$78,912,963"
7,48 Hrs.,Paramount,1982,"$78,868,508"
8,Poltergeist,MGM,1982,"$76,606,280"
9,The Best Little Whorehouse in Texas,Universal,1982,"$69,701,637"
10,Annie,Columbia,1982,"$57,059,003"
1,Return of the Jedi,20th Century Fox,1983,"$309,306,177"
2,Terms of Endearment,Paramount,1983,"$108,423,489"
3,Flashdance,Paramount,1983,"$92,921,203"
4,Trading Places,Paramount,1983,"$90,404,800"
5,WarGames,United Artists,1983,"$79,567,667"
6,Octopussy,United Artists,1983,"$67,893,619"
7,Sudden Impact,Warner Bros.,1983,"$67,642,693"
8,Staying Alive,Paramount,1983,"$64,892,670"
9,Mr. Mom,20th Century Fox,1983,"$64,783,827"
10,Risky Business,Warner Bros.,1983,"$63,541,777"
1,Ghostbusters,Columbia,1984,"$229,242,989"
2,Beverly Hills Cop,Paramount,1984,"$224,760,478"
3,Indiana Jones and the Temple of Doom,Paramount,1984,"$179,870,271"
4,Gremlins,Warner Bros.,1984,"$153,083,102"
5,The Karate Kid,Columbia,1984,"$90,815,558"
6,Police Academy,Warner Bros.,1984,"$81,198,894"
7,Footloose,Paramount,1984,"$80,035,402"
